"matching_type","confounding","J","edu_diff_bias","same_wp_bias","mediation_pct","groups","part"
"one_sided",0.5,10,0.0548670521044101,0.0183760512555056,17.2765263117062,NA,"III"
"one_sided",0.5,30,0.0288805730068173,0.0703282273835806,22.4778281995149,NA,"III"
"one_sided",0.5,100,0.0179018811712173,0.0956884505230542,25.1258026795819,NA,"III"
"one_sided",1,10,0.0667252558101221,0.147392753002535,18.0059475358248,NA,"III"
"one_sided",1,30,0.0404185721687643,0.187742054235618,23.3477226068526,NA,"III"
"one_sided",1,100,0.0261459000228157,0.199556774006561,25.9862962836341,NA,"III"
"one_sided",2,10,0.0804388444327955,0.284347074016865,17.9756147746694,NA,"III"
"one_sided",2,30,0.0512374548778601,0.311087938962973,23.4980265071597,NA,"III"
"one_sided",2,100,0.0405478514872817,0.32398270358436,26.3850921630309,NA,"III"
"one_sided",0.5,NA,0.0288805730068173,0.0703282273835806,22.4778281995149,FALSE,"III"
"one_sided",0.5,NA,0.026779379153828,0.0566199570435302,24.766286141615,TRUE,"III"
"one_sided",1,NA,0.0404185721687643,0.187742054235618,23.3477226068526,FALSE,"III"
"one_sided",1,NA,0.0392643547266441,0.157434693149665,25.062651013933,TRUE,"III"
"one_sided",2,NA,0.0512374548778601,0.311087938962973,23.4980265071597,FALSE,"III"
"one_sided",2,NA,0.0497999540080716,0.281244800876015,24.6325937335273,TRUE,"III"
