"parameter","true_value","mean_estimate","median_estimate","sd_estimate","bias","rel_bias_pct","rmse","coverage_95","n_valid","experiment","model"
"edu_diff",0,0.00308485889380523,0.00394985210966104,0.0231277368100895,0.00308485889380523,Inf,0.0233325644615301,0.96,200,"2.1: Pure propinquity, low segregation","Full"
"log_distance",-0.8,-0.800592181729778,-0.798586061889012,0.0374599780322152,-0.000592181729777486,-0.0740227162221857,0.0374646584580072,0.935,200,"2.1: Pure propinquity, low segregation","Full"
"edu_diff",0,-0.0506249799439478,-0.0498968692742092,0.0236319000551297,-0.0506249799439478,-Inf,0.0558690906901191,0.38,200,"2.1: Pure propinquity, low segregation","Reduced"
"edu_diff",0,0.00240036080305754,0.00327242693445806,0.0266533517661736,0.00240036080305754,Inf,0.0267612199340061,0.945,200,"2.2: Pure propinquity, moderate segregation","Full"
"log_distance",-0.8,-0.803305084770332,-0.805454089880977,0.0458912046427964,-0.00330508477033176,-0.41313559629147,0.0460100668213609,0.97,200,"2.2: Pure propinquity, moderate segregation","Full"
"edu_diff",0,-0.159120666950148,-0.158388508388536,0.0252686935572891,-0.159120666950148,-Inf,0.161114535423568,0,200,"2.2: Pure propinquity, moderate segregation","Reduced"
"edu_diff",0,0.00137781465063559,0.00233735812304332,0.0314241355484423,0.00137781465063559,Inf,0.0314543267004459,0.91,200,"2.3: Pure propinquity, high segregation","Full"
"log_distance",-0.8,-0.798545381498278,-0.79833470359428,0.0519774642441948,0.00145461850172202,0.181827312715252,0.0519978144179359,0.95,200,"2.3: Pure propinquity, high segregation","Full"
"edu_diff",0,-0.208704702609045,-0.208151722113379,0.0277577413899605,-0.208704702609045,-Inf,0.210542501880741,0,200,"2.3: Pure propinquity, high segregation","Reduced"
"edu_diff",-1,-0.997775293530627,-0.998076167786167,0.0395837207026501,0.00222470646937323,0.222470646937323,0.0396461885121418,0.95,200,"2.4a: Both effects, low segregation","Full"
"log_distance",-0.5,-0.501842248816781,-0.50538348487135,0.0434048982099446,-0.0018422488167813,-0.36844976335626,0.0434439762144141,0.955,200,"2.4a: Both effects, low segregation","Full"
"edu_diff",-1,-1.01418606889019,-1.01377465377123,0.0389335130145035,-0.0141860688901929,-1.41860688901929,0.041437458732502,0.93,200,"2.4a: Both effects, low segregation","Reduced"
"edu_diff",-1,-1.00159731206932,-1.00222414803111,0.0416046264137099,-0.00159731206932201,-0.159731206932201,0.0416352776485418,0.95,200,"2.4b: Both effects, moderate segregation","Full"
"log_distance",-0.5,-0.498358415594888,-0.498727818018232,0.0520458984123984,0.00164158440511158,0.328316881022317,0.0520717806581723,0.945,200,"2.4b: Both effects, moderate segregation","Full"
"edu_diff",-1,-1.07962397488516,-1.07973444308345,0.0396690775583661,-0.0796239748851628,-7.96239748851628,0.0889584908305256,0.505,200,"2.4b: Both effects, moderate segregation","Reduced"
"edu_diff",-1,-1.00320790518923,-1.00072227956113,0.0467425819600993,-0.00320790518922931,-0.320790518922931,0.0468525306040099,0.94,200,"2.4c: Both effects, high segregation","Full"
"log_distance",-0.5,-0.492940350402709,-0.496449504471311,0.0517390855312715,0.00705964959729094,1.41192991945819,0.0522184988682053,0.95,200,"2.4c: Both effects, high segregation","Full"
"edu_diff",-1,-1.12573392009917,-1.12628588791696,0.0434914596295814,-0.125733920099171,-12.5733920099171,0.133043322734425,0.145,200,"2.4c: Both effects, high segregation","Reduced"
"edu_diff",-1,-1.00606309470151,-1.00762715645692,0.0705028653704921,-0.0060630947015079,-0.60630947015079,0.070763091670794,0.935,200,"2.5: Both effects, high seg, local market (radius=20)","Full"
"log_distance",-0.5,-0.501062504951374,-0.508398317712958,0.0603788706493716,-0.00106250495137428,-0.212500990274855,0.0603882185336282,0.935,200,"2.5: Both effects, high seg, local market (radius=20)","Full"
"edu_diff",-1,-1.05404180095106,-1.05785319305606,0.0693318577442155,-0.0540418009510637,-5.40418009510637,0.0879057606092941,0.885,200,"2.5: Both effects, high seg, local market (radius=20)","Reduced"
"edu_diff",-1,-1.03341779323775,-1.03215983218933,0.0456172512032706,-0.0334177932377535,-3.34177932377535,0.0565480548933695,0.885,200,"2.6: Both effects, high seg, coarsened distance (grid=10)","Full"
"log_distance",-0.5,-0.351783824644027,-0.353411701354113,0.0383954619897508,0.148216175355973,29.6432350711947,0.153108608962916,0.01,200,"2.6: Both effects, high seg, coarsened distance (grid=10)","Full"
"edu_diff",-1,-1.12573392009917,-1.12628588791696,0.0434914596295814,-0.125733920099171,-12.5733920099171,0.133043322734425,0.145,200,"2.6: Both effects, high seg, coarsened distance (grid=10)","Reduced"
"edu_diff",-1,-1.54388619019494,-1.54144894262342,0.0740911880413937,-0.543886190194944,-54.3886190194944,0.548909548131708,0,200,"2.4a: Both effects, low segregation (bilateral 20%)","Full_bilateral"
"log_distance",-0.5,-0.601438640721347,-0.59881489256048,0.0530372169863347,-0.101438640721347,-20.2877281442694,0.11446721896268,0.345,200,"2.4a: Both effects, low segregation (bilateral 20%)","Full_bilateral"
