"mechanism","V_ego_for_alt","V_alt_for_ego","edu_diff"
"oracle",0.137658776546106,0.137658776546106,0.441560815635929
"oracle",0.25575736547057,0.25575736547057,0.36282842301962
"oracle",0.273606217067303,0.273606217067303,0.350929188621798
"oracle",0.410250958184165,0.410250958184165,0.25983269454389
"oracle",-1.48870367828405,-1.48870367828405,1.52580245218937
"oracle",0.701756246050826,0.701756246050826,0.0654958359661162
"oracle",-2.91954366672836,-2.91954366672836,2.47969577781891
"oracle",-0.417677610312885,-0.417677610312885,0.811785073541923
"oracle",0.747073811704859,0.747073811704859,0.0352841255300937
"oracle",0.485940551813794,0.485940551813794,0.209372965457471
"oracle",-3.58338595989324,-3.58338595989324,2.38892397326216
"oracle",-1.74036894917475,-1.74036894917475,1.69357929944983
"oracle",0.142401578502956,0.142401578502956,0.438398947664696
"oracle",0.730377968846453,0.730377968846453,0.0464146874356981
"oracle",0.433219739882409,0.433219739882409,0.244520173411727
"oracle",-0.126002942723347,-0.126002942723347,0.617335295148898
"oracle",0.123465228944357,0.123465228944357,0.451023180703762
"oracle",-1.32001487458836,-1.32001487458836,1.41334324972558
"oracle",0.056956271283646,0.056956271283646,0.495362485810903
"oracle",-0.00367055801395355,-0.00367055801395355,0.535780372009302
"oracle",-0.808651550269149,-0.808651550269149,1.0724343668461
"oracle",0.391830225603797,0.391830225603797,0.272113182930802
"oracle",-3.41333514696485,-3.41333514696485,2.80889009797657
"oracle",-0.99299531384065,-0.99299531384065,0.661996875893767
"oracle",-1.13898931736461,-1.13898931736461,1.29265954490974
"oracle",0.612775334158174,0.612775334158174,0.12481644389455
"oracle",-0.749748763557995,-0.749748763557995,1.033165842372
"oracle",0.239597958659379,0.239597958659379,0.373601360893748
"oracle",-0.411397055943149,-0.411397055943149,0.807598037295433
"oracle",0.124498397613225,0.124498397613225,0.450334401591183
"oracle",0.798342430892024,0.798342430892024,0.00110504607198436
"oracle",-1.30406620649749,-1.30406620649749,1.40271080433166
"oracle",-2.4301363932644,-2.4301363932644,1.62009092884294
"oracle",-1.17174317631789,-1.17174317631789,0.781162117545263
"oracle",0.575971225255438,0.575971225255438,0.149352516496375
"oracle",-1.43687034976444,-1.43687034976444,1.49124689984296
"oracle",0.0279473509848842,0.0279473509848842,0.514701766010077
"oracle",-0.619705700590891,-0.619705700590891,0.946470467060594
"oracle",-1.94196013645592,-1.94196013645592,1.82797342430395
"oracle",-1.18809233084618,-1.18809233084618,1.32539488723079
"oracle",0.447569886540087,0.447569886540087,0.234953408973276
"oracle",-0.817104450662966,-0.817104450662966,1.07806963377531
"oracle",0.569252925952806,0.569252925952806,0.153831382698129
"oracle",0.543569584241484,0.543569584241484,0.170953610505677
"oracle",0.781505560311271,0.781505560311271,0.0123296264591524
"oracle",0.620949435891332,0.620949435891332,0.119367042739112
"oracle",-0.548733054661272,-0.548733054661272,0.365822036440848
"oracle",-0.0817696671776476,-0.0817696671776476,0.587846444785098
"oracle",-0.0789366493151211,-0.0789366493151211,0.585957766210081
"oracle",0.786434258433478,0.786434258433478,0.00904382771101453
"oracle",0.612164819639368,0.612164819639368,0.125223453573755
"oracle",-1.69871756221688,-1.69871756221688,1.66581170814459
"oracle",-0.580819726936055,-0.580819726936055,0.920546484624037
"oracle",0.546406793972181,0.546406793972181,0.169062137351879
"oracle",-0.425924300000844,-0.425924300000844,0.817282866667229
"oracle",-0.718986658713188,-0.718986658713188,1.01265777247546
"oracle",-1.08802216208028,-1.08802216208028,1.25868144138685
"oracle",0.691214389902308,0.691214389902308,0.0725237400651277
"oracle",0.606161286273897,0.606161286273897,0.129225809150736
"oracle",0.0946891089142412,0.0946891089142412,0.470207260723839
"oracle",-0.639619268672123,-0.639619268672123,0.959746179114749
"oracle",-1.22793711668211,-1.22793711668211,0.818624744454739
"oracle",-0.00703794993152052,-0.00703794993152052,0.00469196662101368
"oracle",-1.31989819293889,-1.31989819293889,0.87993212862593
"oracle",-0.610068030116606,-0.610068030116606,0.940045353411071
"oracle",-0.948630628073078,-0.948630628073078,1.16575375204872
"oracle",-0.374552974822272,-0.374552974822272,0.249701983214848
"oracle",0.550035470497332,0.550035470497332,0.166643019668445
"oracle",-0.550227612363265,-0.550227612363265,0.366818408242176
"oracle",0.238375163019099,0.238375163019099,0.374416557987267
"oracle",0.389644215828694,0.389644215828694,0.27357052278087
"oracle",-0.307884341023943,-0.307884341023943,0.738589560682628
"oracle",0.559459930260265,0.559459930260265,0.160360046493157
"oracle",0.682492539988552,0.682492539988552,0.0783383066742989
