"rep","condition","acceptance_rate","method","r_full","rho_full","r_diag","rho_diag","r_off","rho_off","r_sym","r_min","rmse_full","rmse_diag","pairing_rate","elapsed_sec"
1,"bilateral",0.25,"crude_ratio",0.771773193257065,0.399384745267114,0.737140723223417,0.7,-0.153227379927197,-0.173291515102742,0.777721013050168,0.778680545444262,1.35545513928131,1.59408589872628,0.9998,1.58566308021545
1,"bilateral",0.25,"loglinear_3way",0.83875669108761,0.425238636989719,0.698189034404126,0.7,-0.126760224637632,-0.122590504133817,0.838741969489818,0.838107624516058,0.676272758413372,0.954418770667169,0.9998,1.58566308021545
1,"bilateral",0.25,"clogit_K2",0.897711554350731,0.948876414117712,0.880838517768951,0.9,0.906732695590143,0.901267224835656,0.894886421678641,0.894686710226192,0.899113410435489,0.71692387294263,0.9998,1.58566308021545
1,"bilateral",0.5,"crude_ratio",0.486328170145693,0.266256496844742,0.46481707928716,0.2,-0.258933577979199,-0.207344432917691,0.488373315426238,0.492479961763384,1.01421916498982,2.01425522255429,0.999,1.54290199279785
1,"bilateral",0.5,"loglinear_3way",0.463091503985931,0.0864368917293077,0.0727895289397301,0.4,-0.42490667831558,-0.481281238451282,0.459665409913199,0.463939489428515,0.997909303138723,2.02085980323996,0.999,1.54290199279785
1,"bilateral",0.5,"clogit_K2",0.794014587146087,0.956593993736401,0.690013473672534,0.6,0.934272795208863,0.92548263305962,0.787676017558821,0.788469523309094,0.804252862973616,1.00934091143164,0.999,1.54290199279785
1,"bilateral",0.75,"crude_ratio",-0.531057206758616,-0.814976407733472,-0.0992385313783029,-0.3,-0.787531414622788,-0.833918120712757,-0.531337931942198,-0.534429312127876,1.42144296864153,2.50028173656794,0.9996,1.54190397262573
1,"bilateral",0.75,"loglinear_3way",-0.515772402478217,-0.866298312197749,0.264392309419988,0.1,-0.778934114534131,-0.892943178258669,-0.520513716427228,-0.516732396456592,1.41463687055502,2.7624382725909,0.9996,1.54190397262573
1,"bilateral",0.75,"clogit_K2",0.694783218992587,0.911832031948009,0.436890101050912,0.6,0.934350545566203,0.924725901552621,0.68733550971458,0.687452902476998,0.83085319766588,1.69573441888693,0.9996,1.54190397262573
1,"onesided",NA,"crude_ratio",0.286213353700237,-0.112676662432848,0.851457302264097,0.7,-0.842100653072848,-0.874781622090696,0.290109508664965,0.288549561973517,1.30319433359713,1.69550597714123,1,1.87890315055847
1,"onesided",NA,"loglinear_3way",0.415422220090891,-0.176732573267959,0.764347462836885,0.6,-0.89492797913552,-0.953481698818578,0.416152586653514,0.416611857555843,1.06921098831474,1.47121729386605,1,1.87890315055847
1,"onesided",NA,"clogit_K2",0.946764142298207,0.843531452322619,0.957454874082387,0.9,0.681931234809793,0.694679523424964,0.946557816352599,0.94606060537753,0.509086222648725,0.506805884389729,1,1.87890315055847
2,"bilateral",0.25,"crude_ratio",0.810693901631021,0.532898872670419,0.759225247290642,0.7,0.176252848189694,0.088537586318868,0.815368693462775,0.81868769362956,1.40911808740456,1.5891866742045,0.9988,1.59545922279358
2,"bilateral",0.25,"loglinear_3way",0.861728399587575,0.581519624268155,0.833446439312483,0.7,0.196954144805128,0.183885756200726,0.861578919200702,0.861829497471122,0.644884762266096,0.880228023992233,0.9988,1.59545922279358
2,"bilateral",0.25,"clogit_K2",0.532676608835406,0.789894273972736,-0.270185171146169,0,0.489765970800682,0.675761235749992,0.532371409396423,0.53347380072002,2.84493945453443,1.83882474508745,0.9988,1.59545922279358
2,"bilateral",0.5,"crude_ratio",0.351453579468032,0.203744101933368,0.253039484009899,0.2,-0.341479201467696,-0.286044509645573,0.353520929678127,0.355299626365041,1.04572480855037,2.07343976781051,0.9984,1.50191020965576
2,"bilateral",0.5,"loglinear_3way",0.324052092729951,-0.0551806942736205,-0.0224447646783367,-0.1,-0.487982678777211,-0.511550498731237,0.321269905075792,0.324444692110417,1.04330679880392,2.11268515337899,0.9984,1.50191020965576
2,"bilateral",0.5,"clogit_K2",0.778268114151747,0.952735203927056,0.55300364947807,0.6,0.941028229189531,0.920942244017627,0.772133874298149,0.772680727573127,0.812647454110496,1.10845173375697,0.9984,1.50191020965576
2,"bilateral",0.75,"crude_ratio",-0.623678626982488,-0.818449318561882,-0.493017532906744,-0.4,-0.773029545139125,-0.77791998919484,-0.623327127939004,-0.624322054686302,1.45993742916485,2.61774147149258,0.9996,1.54012513160706
2,"bilateral",0.75,"loglinear_3way",-0.613767146427181,-0.858194853598126,0.0975802921760607,0.3,-0.775729776203667,-0.864187380992711,-0.615032239685436,-0.609883344847838,1.45930167380952,2.88903735652871,0.9996,1.54012513160706
